"year","value","scenario","variable"
"2088",1.46600684928872,"1p5","Global Mean Temperature Change (degC)"
"2089",1.45840229963746,"1p5","Global Mean Temperature Change (degC)"
"2090",1.45299770882329,"1p5","Global Mean Temperature Change (degC)"
"2091",1.44723564085001,"1p5","Global Mean Temperature Change (degC)"
"2092",1.44568886704642,"1p5","Global Mean Temperature Change (degC)"
"2093",1.44343470746835,"1p5","Global Mean Temperature Change (degC)"
"2094",1.43502701279999,"1p5","Global Mean Temperature Change (degC)"
"2095",1.42151464425506,"1p5","Global Mean Temperature Change (degC)"
"2096",1.40933007978971,"1p5","Global Mean Temperature Change (degC)"
"2097",1.39619050427049,"1p5","Global Mean Temperature Change (degC)"
"2098",1.38504434239782,"1p5","Global Mean Temperature Change (degC)"
"2099",1.37537380752038,"1p5","Global Mean Temperature Change (degC)"
"2100",1.36822453925535,"1p5","Global Mean Temperature Change (degC)"
