"year","value","scenario"
1997,0.00496999999999992,"RCP85"
1998,0.0759699999999999,"RCP85"
1999,0.13277,"RCP85"
2000,0.20377,"RCP85"
2001,0.24637,"RCP85"
2002,0.30317,"RCP85"
2003,0.33157,"RCP85"
2004,0.34577,"RCP85"
2005,0.35997,"RCP85"
2006,0.37417,"RCP85"
2007,0.38837,"RCP85"
2008,0.41677,"RCP85"
2009,0.43097,"RCP85"
2010,0.45937,"RCP85"
2011,0.50197,"RCP85"
2012,0.54457,"RCP85"
2013,0.58717,"RCP85"
2014,0.61557,"RCP85"
2015,0.64397,"RCP85"
2016,0.67237,"RCP85"
2017,0.68657,"RCP85"
2018,0.71497,"RCP85"
2019,0.74337,"RCP85"
2020,0.77177,"RCP85"
2021,0.81437,"RCP85"
2022,0.87117,"RCP85"
2023,0.91377,"RCP85"
2024,0.97057,"RCP85"
2025,1.01317,"RCP85"
2026,1.05577,"RCP85"
2027,1.08417,"RCP85"
2028,1.12677,"RCP85"
2029,1.15517,"RCP85"
2030,1.19777,"RCP85"
2031,1.24037,"RCP85"
2032,1.26877,"RCP85"
2033,1.32557,"RCP85"
2034,1.36817,"RCP85"
2035,1.42497,"RCP85"
2036,1.48177,"RCP85"
2037,1.53857,"RCP85"
2038,1.58117,"RCP85"
2039,1.63797,"RCP85"
2040,1.68057,"RCP85"
2041,1.72317,"RCP85"
2042,1.76577,"RCP85"
2043,1.82257,"RCP85"
2044,1.86517,"RCP85"
2045,1.92197,"RCP85"
2046,1.99297,"RCP85"
2047,2.04977,"RCP85"
2048,2.12077,"RCP85"
2049,2.17757,"RCP85"
2050,2.23437,"RCP85"
2051,2.27697,"RCP85"
2052,2.33377,"RCP85"
2053,2.37637,"RCP85"
2054,2.43317,"RCP85"
2055,2.48997,"RCP85"
2056,2.56097,"RCP85"
2057,2.61777,"RCP85"
2058,2.67457,"RCP85"
2059,2.74557,"RCP85"
2060,2.80237,"RCP85"
2061,2.85917,"RCP85"
2062,2.90177,"RCP85"
2063,2.95857,"RCP85"
2064,3.01537,"RCP85"
2065,3.07217,"RCP85"
2066,3.12897,"RCP85"
2067,3.19997,"RCP85"
2068,3.27097,"RCP85"
2069,3.32777,"RCP85"
2070,3.39877,"RCP85"
2071,3.45557,"RCP85"
2072,3.49817,"RCP85"
2073,3.55497,"RCP85"
2074,3.61177,"RCP85"
2075,3.66857,"RCP85"
2076,3.72537,"RCP85"
2077,3.76797,"RCP85"
2078,3.83897,"RCP85"
2079,3.89577,"RCP85"
2080,3.96677,"RCP85"
2081,4.02357,"RCP85"
2082,4.08037,"RCP85"
2083,4.15137,"RCP85"
2084,4.20817,"RCP85"
2085,4.26497,"RCP85"
2086,4.30757,"RCP85"
2087,4.36437,"RCP85"
2088,4.42117,"RCP85"
2089,4.47797,"RCP85"
2090,4.54897,"RCP85"
2091,4.61997,"RCP85"
2092,4.69097,"RCP85"
2093,4.74777,"RCP85"
2094,4.80457,"RCP85"
2095,4.86137,"RCP85"
2096,4.91817,"RCP85"
2097,4.97497,"RCP85"
2098,5.01757,"RCP85"
2099,5.07437,"RCP85"
2100,5.13117,"RCP85"
