"year","value","scenario"
1997,0.00496999999999992,"RCP26"
1998,0.0759699999999999,"RCP26"
1999,0.13277,"RCP26"
2000,0.20377,"RCP26"
2001,0.24637,"RCP26"
2002,0.30317,"RCP26"
2003,0.31737,"RCP26"
2004,0.34577,"RCP26"
2005,0.35997,"RCP26"
2006,0.37417,"RCP26"
2007,0.38837,"RCP26"
2008,0.40257,"RCP26"
2009,0.41677,"RCP26"
2010,0.44517,"RCP26"
2011,0.47357,"RCP26"
2012,0.51617,"RCP26"
2013,0.55877,"RCP26"
2014,0.58717,"RCP26"
2015,0.60137,"RCP26"
2016,0.61557,"RCP26"
2017,0.62977,"RCP26"
2018,0.65817,"RCP26"
2019,0.67237,"RCP26"
2020,0.68657,"RCP26"
2021,0.71497,"RCP26"
2022,0.74337,"RCP26"
2023,0.78597,"RCP26"
2024,0.81437,"RCP26"
2025,0.84277,"RCP26"
2026,0.85697,"RCP26"
2027,0.87117,"RCP26"
2028,0.88537,"RCP26"
2029,0.89957,"RCP26"
2030,0.91377,"RCP26"
2031,0.92797,"RCP26"
2032,0.92797,"RCP26"
2033,0.94217,"RCP26"
2034,0.97057,"RCP26"
2035,0.99897,"RCP26"
2036,1.01317,"RCP26"
2037,1.02737,"RCP26"
2038,1.04157,"RCP26"
2039,1.05577,"RCP26"
2040,1.06997,"RCP26"
2041,1.06997,"RCP26"
2042,1.06997,"RCP26"
2043,1.06997,"RCP26"
2044,1.08417,"RCP26"
2045,1.09837,"RCP26"
2046,1.11257,"RCP26"
2047,1.12677,"RCP26"
2048,1.14097,"RCP26"
2049,1.15517,"RCP26"
2050,1.15517,"RCP26"
2051,1.15517,"RCP26"
2052,1.14097,"RCP26"
2053,1.14097,"RCP26"
2054,1.14097,"RCP26"
2055,1.14097,"RCP26"
2056,1.14097,"RCP26"
2057,1.14097,"RCP26"
2058,1.15517,"RCP26"
2059,1.15517,"RCP26"
2060,1.15517,"RCP26"
2061,1.15517,"RCP26"
2062,1.14097,"RCP26"
2063,1.14097,"RCP26"
2064,1.12677,"RCP26"
2065,1.12677,"RCP26"
2066,1.12677,"RCP26"
2067,1.14097,"RCP26"
2068,1.14097,"RCP26"
2069,1.14097,"RCP26"
2070,1.14097,"RCP26"
2071,1.14097,"RCP26"
2072,1.14097,"RCP26"
2073,1.12677,"RCP26"
2074,1.12677,"RCP26"
2075,1.11257,"RCP26"
2076,1.11257,"RCP26"
2077,1.09837,"RCP26"
2078,1.09837,"RCP26"
2079,1.11257,"RCP26"
2080,1.11257,"RCP26"
2081,1.11257,"RCP26"
2082,1.11257,"RCP26"
2083,1.11257,"RCP26"
2084,1.11257,"RCP26"
2085,1.11257,"RCP26"
2086,1.09837,"RCP26"
2087,1.09837,"RCP26"
2088,1.09837,"RCP26"
2089,1.08417,"RCP26"
2090,1.09837,"RCP26"
2091,1.09837,"RCP26"
2092,1.11257,"RCP26"
2093,1.11257,"RCP26"
2094,1.11257,"RCP26"
2095,1.11257,"RCP26"
2096,1.09837,"RCP26"
2097,1.09837,"RCP26"
2098,1.08417,"RCP26"
2099,1.08417,"RCP26"
2100,1.08417,"RCP26"
