"year","value","scenario"
1997,0.00496999999999992,"RCP60"
1998,0.0759699999999999,"RCP60"
1999,0.13277,"RCP60"
2000,0.20377,"RCP60"
2001,0.24637,"RCP60"
2002,0.30317,"RCP60"
2003,0.33157,"RCP60"
2004,0.34577,"RCP60"
2005,0.35997,"RCP60"
2006,0.37417,"RCP60"
2007,0.38837,"RCP60"
2008,0.40257,"RCP60"
2009,0.41677,"RCP60"
2010,0.44517,"RCP60"
2011,0.45937,"RCP60"
2012,0.50197,"RCP60"
2013,0.53037,"RCP60"
2014,0.57297,"RCP60"
2015,0.58717,"RCP60"
2016,0.60137,"RCP60"
2017,0.61557,"RCP60"
2018,0.62977,"RCP60"
2019,0.64397,"RCP60"
2020,0.65817,"RCP60"
2021,0.68657,"RCP60"
2022,0.71497,"RCP60"
2023,0.75757,"RCP60"
2024,0.78597,"RCP60"
2025,0.81437,"RCP60"
2026,0.84277,"RCP60"
2027,0.87117,"RCP60"
2028,0.88537,"RCP60"
2029,0.89957,"RCP60"
2030,0.92797,"RCP60"
2031,0.94217,"RCP60"
2032,0.95637,"RCP60"
2033,0.98477,"RCP60"
2034,1.01317,"RCP60"
2035,1.04157,"RCP60"
2036,1.06997,"RCP60"
2037,1.09837,"RCP60"
2038,1.12677,"RCP60"
2039,1.15517,"RCP60"
2040,1.16937,"RCP60"
2041,1.18357,"RCP60"
2042,1.21197,"RCP60"
2043,1.22617,"RCP60"
2044,1.25457,"RCP60"
2045,1.28297,"RCP60"
2046,1.32557,"RCP60"
2047,1.35397,"RCP60"
2048,1.39657,"RCP60"
2049,1.42497,"RCP60"
2050,1.45337,"RCP60"
2051,1.48177,"RCP60"
2052,1.49597,"RCP60"
2053,1.52437,"RCP60"
2054,1.55277,"RCP60"
2055,1.58117,"RCP60"
2056,1.60957,"RCP60"
2057,1.65217,"RCP60"
2058,1.68057,"RCP60"
2059,1.70897,"RCP60"
2060,1.75157,"RCP60"
2061,1.77997,"RCP60"
2062,1.80837,"RCP60"
2063,1.83677,"RCP60"
2064,1.86517,"RCP60"
2065,1.89357,"RCP60"
2066,1.93617,"RCP60"
2067,1.99297,"RCP60"
2068,2.03557,"RCP60"
2069,2.07817,"RCP60"
2070,2.12077,"RCP60"
2071,2.14917,"RCP60"
2072,2.19177,"RCP60"
2073,2.22017,"RCP60"
2074,2.26277,"RCP60"
2075,2.29117,"RCP60"
2076,2.31957,"RCP60"
2077,2.36217,"RCP60"
2078,2.40477,"RCP60"
2079,2.44737,"RCP60"
2080,2.48997,"RCP60"
2081,2.53257,"RCP60"
2082,2.56097,"RCP60"
2083,2.60357,"RCP60"
2084,2.63197,"RCP60"
2085,2.66037,"RCP60"
2086,2.68877,"RCP60"
2087,2.71717,"RCP60"
2088,2.73137,"RCP60"
2089,2.75977,"RCP60"
2090,2.80237,"RCP60"
2091,2.83077,"RCP60"
2092,2.85917,"RCP60"
2093,2.90177,"RCP60"
2094,2.91597,"RCP60"
2095,2.94437,"RCP60"
2096,2.95857,"RCP60"
2097,2.98697,"RCP60"
2098,3.00117,"RCP60"
2099,3.01537,"RCP60"
2100,3.04377,"RCP60"
